xx,yy,start_time
-9.25,1.5,'07-09-2019 22:13:59'
-7.25,3,'07-09-2019 22:14:01'
-6.5,1.25,'07-09-2019 22:14:03'
-6.5,1,'07-09-2019 22:14:07'
-6.5,1,'07-09-2019 22:14:09'
-6.25,1.5,'07-09-2019 22:14:11'
-11.25,12.25,'07-09-2019 22:14:13'
-6,1.75,'07-09-2019 22:14:17'
-6.75,1.5,'07-09-2019 22:14:19'
-7,1,'07-09-2019 22:14:21'
-7,1.75,'07-09-2019 22:14:22'
-6.5,1.25,'07-09-2019 22:14:25'
-9.5,2,'07-09-2019 22:14:26'
-7.25,-2,'07-09-2019 22:14:28'
-6.25,1.5,'07-09-2019 22:14:30'
-6.25,-1.25,'07-09-2019 22:14:32'
-5.75,1.75,'07-09-2019 22:14:34'
-7.25,2,'07-09-2019 22:14:37'
-7.5,1.5,'07-09-2019 22:14:39'
-6.5,-1.75,'07-09-2019 22:14:43'
-6.25,1.5,'07-09-2019 22:14:45'
-12,5.75,'07-09-2019 22:14:48'
-9.75,2.5,'07-09-2019 22:14:50'
-7.75,2,'07-09-2019 22:14:52'
-11,2.75,'07-09-2019 22:14:53'
-11.75,3,'07-09-2019 22:14:55'
-9.5,2.25,'07-09-2019 22:14:57'
-7.25,2,'07-09-2019 22:15:00'
-13.25,7.25,'07-09-2019 22:15:02'
-7.75,2,'07-09-2019 22:15:08'
-9.25,5.5,'07-09-2019 22:15:12'
-11.75,6.75,'07-09-2019 22:15:14'
-20,16.25,'07-09-2019 22:15:16'
-14,4.25,'07-09-2019 22:15:18'
-10.25,5.25,'07-09-2019 22:15:19'
-13.75,6.5,'07-09-2019 22:15:25'
-7.5,15.25,'07-09-2019 22:15:32'
-10.5,6.25,'07-09-2019 22:15:34'
-12.25,6,'07-09-2019 22:15:36'
-10.25,2.75,'07-09-2019 22:15:39'
-10.25,2.75,'07-09-2019 22:15:41'
-1.5,14.75,'07-09-2019 22:15:43'
-8.75,2,'07-09-2019 22:15:45'
-10,2.75,'07-09-2019 22:15:49'
