xx,yy,start_time
-14.75,9.25,'07-09-2019 22:13:59'
-16.25,10,'07-09-2019 22:14:01'
-6,7.25,'07-09-2019 22:14:03'
-16.75,10.25,'07-09-2019 22:14:07'
-6,7.25,'07-09-2019 22:14:09'
-6,7.25,'07-09-2019 22:14:11'
-19.25,15.5,'07-09-2019 22:14:13'
-6,7.25,'07-09-2019 22:14:17'
-6,7.25,'07-09-2019 22:14:19'
-6,7.25,'07-09-2019 22:14:21'
-6,7.25,'07-09-2019 22:14:22'
-6,7.25,'07-09-2019 22:14:25'
-16.75,10.25,'07-09-2019 22:14:26'
-16.75,10.25,'07-09-2019 22:14:28'
-6,7.25,'07-09-2019 22:14:30'
-16.75,10.25,'07-09-2019 22:14:32'
-6,7.25,'07-09-2019 22:14:34'
-6,7.25,'07-09-2019 22:14:37'
-6,7.25,'07-09-2019 22:14:39'
-16.75,10.25,'07-09-2019 22:14:43'
-6,7.25,'07-09-2019 22:14:45'
-16.75,10.25,'07-09-2019 22:14:48'
-14.75,9.25,'07-09-2019 22:14:50'
-14.75,9.25,'07-09-2019 22:14:52'
-14.75,9.25,'07-09-2019 22:14:53'
-16.75,10.25,'07-09-2019 22:14:55'
-14.75,9.25,'07-09-2019 22:14:57'
-6,7.25,'07-09-2019 22:15:00'
-15.25,9.5,'07-09-2019 22:15:02'
-6,7.25,'07-09-2019 22:15:08'
-14.75,9.25,'07-09-2019 22:15:12'
-14.75,9.25,'07-09-2019 22:15:14'
-20,16.25,'07-09-2019 22:15:16'
-17,10.25,'07-09-2019 22:15:18'
-14.75,9.25,'07-09-2019 22:15:19'
-14.75,9.25,'07-09-2019 22:15:25'
-9.5,13.25,'07-09-2019 22:15:32'
-14.75,9.25,'07-09-2019 22:15:34'
-14.75,9.25,'07-09-2019 22:15:36'
-14.75,9.25,'07-09-2019 22:15:39'
-14.75,9.25,'07-09-2019 22:15:41'
-9.5,13.25,'07-09-2019 22:15:43'
-14.75,9.25,'07-09-2019 22:15:45'
-14.75,9.25,'07-09-2019 22:15:49'
-14.75,9.25,'07-09-2019 22:15:52'
-14.75,9.25,'07-09-2019 22:15:54'
-17,10,'07-09-2019 22:15:56'
-14.75,9.25,'07-09-2019 22:15:58'
-14.75,9.25,'07-09-2019 22:16:00'
-14.75,9.25,'07-09-2019 22:16:02'
-14.75,9.25,'07-09-2019 22:16:03'
-14.75,9.25,'07-09-2019 22:16:07'
-18.25,10.75,'07-09-2019 22:16:13'
-18,10.5,'07-09-2019 22:16:15'
-14.75,9.25,'07-09-2019 22:16:20'
-14.75,9.25,'07-09-2019 22:16:21'
-14.75,9.25,'07-09-2019 22:16:25'
-17.75,10,'07-09-2019 22:16:27'
-15.25,9.25,'07-09-2019 22:16:29'
-14.75,9.25,'07-09-2019 22:16:31'
-14.75,9.25,'07-09-2019 22:16:33'
-14.75,9.25,'07-09-2019 22:16:35'
-14.75,9.25,'07-09-2019 22:16:37'
-14.75,9.25,'07-09-2019 22:16:39'
-14.75,9.25,'07-09-2019 22:16:42'
-6,7.25,'07-09-2019 22:16:45'
-18.5,11.5,'07-09-2019 22:16:48'
-16.25,10,'07-09-2019 22:16:50'
-16.75,10.25,'07-09-2019 22:17:02'
-16.75,10.25,'07-09-2019 22:17:04'
-6,7.25,'07-09-2019 22:17:06'
-16.75,10.25,'07-09-2019 22:17:08'
-19.25,15.5,'07-09-2019 22:17:10'
-14.75,9.25,'07-09-2019 22:17:12'
-16.25,10,'07-09-2019 22:17:15'
-14.75,9.25,'07-09-2019 22:17:17'
-14.75,9.25,'07-09-2019 22:17:19'
-14.75,9.25,'07-09-2019 22:17:21'
-14.75,9.25,'07-09-2019 22:17:23'
-6,7.25,'07-09-2019 22:17:25'
-14.75,9.25,'07-09-2019 22:17:29'
-6,7.25,'07-09-2019 22:17:30'
-17,10.25,'07-09-2019 22:17:32'
-14.75,9.25,'07-09-2019 22:17:35'
-14.75,9.25,'07-09-2019 22:17:37'
-14.75,9.25,'07-09-2019 22:17:41'
-14.75,9.25,'07-09-2019 22:17:47'
-6,7.25,'07-09-2019 22:17:50'
-9.25,8,'07-09-2019 22:17:52'
-18.25,11,'07-09-2019 22:17:55'
-5,7.5,'07-09-2019 22:17:57'
-14.75,9.25,'07-09-2019 22:18:01'
-16.25,10,'07-09-2019 22:18:03'
-18.25,10.5,'07-09-2019 22:18:05'
-14.75,9.25,'07-09-2019 22:18:09'
-18.25,10.75,'07-09-2019 22:18:12'
-16.25,10,'07-09-2019 22:18:14'
-17.5,10.5,'07-09-2019 22:18:18'
-16.75,10.25,'07-09-2019 22:18:20'
-18.5,11.5,'07-09-2019 22:18:22'
-17,10.25,'07-09-2019 22:18:25'
-14.75,9.25,'07-09-2019 22:18:27'
-14.75,9.25,'07-09-2019 22:18:29'
-14.75,9.25,'07-09-2019 22:18:31'
-14.75,9.25,'07-09-2019 22:18:33'
-14.75,9.25,'07-09-2019 22:18:35'
-14.75,9.25,'07-09-2019 22:18:37'
-14.75,9.25,'07-09-2019 22:18:40'
-16.75,10.25,'07-09-2019 22:18:42'
-14.75,9.25,'07-09-2019 22:18:45'
-14.75,9.25,'07-09-2019 22:18:46'
-14.75,9.25,'07-09-2019 22:18:48'
-14.75,9.25,'07-09-2019 22:18:50'
-14.75,9.25,'07-09-2019 22:18:53'
-14.75,9.25,'07-09-2019 22:18:55'
-18.5,11.5,'07-09-2019 22:18:57'
-14.75,9.25,'07-09-2019 22:18:59'
-14.75,9.25,'07-09-2019 22:19:01'
-14.75,9.25,'07-09-2019 22:19:04'
-14.75,9.25,'07-09-2019 22:19:06'
-14.75,9.25,'07-09-2019 22:19:08'
-14.75,9.25,'07-09-2019 22:19:13'
-14.75,9.25,'07-09-2019 22:19:15'
-14.75,9.25,'07-09-2019 22:19:16'
-14.75,9.25,'07-09-2019 22:19:18'
-14.75,9.25,'07-09-2019 22:19:21'
-14.75,9.25,'07-09-2019 22:19:23'
-14.75,9.25,'07-09-2019 22:19:25'
-14.75,9.25,'07-09-2019 22:19:27'
-16.75,10.25,'07-09-2019 22:19:29'
-14.75,9.25,'07-09-2019 22:19:31'
-9.25,8,'07-09-2019 22:19:33'
-15.25,9.5,'07-09-2019 22:19:38'
-14.75,9.25,'07-09-2019 22:19:40'
-14.75,9.25,'07-09-2019 22:19:41'
-14.75,9.25,'07-09-2019 22:19:44'
-14.75,9.25,'07-09-2019 22:19:46'
-14.75,9.25,'07-09-2019 22:19:48'
-14.75,9.25,'07-09-2019 22:19:50'
-14.75,9.25,'07-09-2019 22:19:52'
-14.75,9.25,'07-09-2019 22:19:57'
-14.75,9.25,'07-09-2019 22:19:59'
-14.75,9.25,'07-09-2019 22:20:06'
-14.75,9.25,'07-09-2019 22:20:08'
-14.75,9.25,'07-09-2019 22:20:10'
-14.75,9.25,'07-09-2019 22:20:12'
-14.75,9.25,'07-09-2019 22:20:14'
-14.75,9.25,'07-09-2019 22:20:16'
-14.75,9.25,'07-09-2019 22:20:31'
-14.75,9.25,'07-09-2019 22:20:35'
-14.5,9.25,'07-09-2019 22:20:39'
-14.75,9.25,'07-09-2019 22:20:41'
-14.75,9.25,'07-09-2019 22:20:43'
-14.75,9.25,'07-09-2019 22:20:45'
-14.75,9.25,'07-09-2019 22:20:47'
-14.75,9.25,'07-09-2019 22:20:49'
-14.75,9.25,'07-09-2019 22:20:51'
-14.75,9.25,'07-09-2019 22:20:53'
-14.75,9.25,'07-09-2019 22:20:55'
-14.75,9.25,'07-09-2019 22:20:57'
-14.75,9.25,'07-09-2019 22:21:01'
-14.75,9.25,'07-09-2019 22:21:03'
-14.75,9.25,'07-09-2019 22:21:05'
-14.75,9.25,'07-09-2019 22:21:07'
-14.75,9.25,'07-09-2019 22:21:09'
-14.75,9.25,'07-09-2019 22:21:11'
-14.75,9.25,'07-09-2019 22:21:13'
-14.75,9.25,'07-09-2019 22:21:15'
-14.75,9.25,'07-09-2019 22:21:17'
-14.75,9.25,'07-09-2019 22:21:19'
-14.75,9.25,'07-09-2019 22:21:22'
-14.75,9.25,'07-09-2019 22:21:24'
-14.75,9.25,'07-09-2019 22:21:26'
-14.75,9.25,'07-09-2019 22:21:28'
-14.75,9.25,'07-09-2019 22:21:30'
-14.75,9.25,'07-09-2019 22:21:32'
-14.75,9.25,'07-09-2019 22:21:34'
-14.75,9.25,'07-09-2019 22:21:36'
-14.75,9.25,'07-09-2019 22:21:38'
-14.75,9.25,'07-09-2019 22:21:40'
-18.25,10.75,'07-09-2019 22:21:42'
-14.75,9.25,'07-09-2019 22:21:45'
-14.75,9.25,'07-09-2019 22:21:47'
-14.75,9.25,'07-09-2019 22:21:51'
-14.75,9.25,'07-09-2019 22:21:54'
-14.75,9.25,'07-09-2019 22:21:56'
-14.75,9.25,'07-09-2019 22:21:58'
-14.75,9.25,'07-09-2019 22:22:00'
-14.75,9.25,'07-09-2019 22:22:02'
-14.75,9.25,'07-09-2019 22:22:05'
-14.75,9.25,'07-09-2019 22:22:07'
-14.75,9.25,'07-09-2019 22:22:09'
-14.75,9.25,'07-09-2019 22:22:11'
-14.75,9.25,'07-09-2019 22:22:13'
-14.75,9.25,'07-09-2019 22:22:16'
-14.75,9.25,'07-09-2019 22:22:17'
-14.75,9.25,'07-09-2019 22:22:20'
-16.75,10.25,'07-09-2019 22:22:22'
-17,9.75,'07-09-2019 22:22:26'
-17.25,9.75,'07-09-2019 22:22:28'
-14.75,9.25,'07-09-2019 22:22:30'
-16.75,10.25,'07-09-2019 22:22:32'
-14.75,9.25,'07-09-2019 22:22:35'
-14.75,9.25,'07-09-2019 22:22:38'
-14.75,9.25,'07-09-2019 22:22:40'
-14.75,9.25,'07-09-2019 22:22:42'
-14.75,9.25,'07-09-2019 22:22:44'
-14.75,9.25,'07-09-2019 22:22:48'
-14.75,9.25,'07-09-2019 22:22:50'
-14.75,9.25,'07-09-2019 22:22:54'
-16.75,10.25,'07-09-2019 22:22:56'
-14.75,9.25,'07-09-2019 22:22:58'
-14.75,9.25,'07-09-2019 22:23:00'
-16.75,10.25,'07-09-2019 22:23:02'
-14.75,9.25,'07-09-2019 22:23:04'
-16.75,10.25,'07-09-2019 22:23:07'
-14.75,9.25,'07-09-2019 22:23:10'
-14.75,9.25,'07-09-2019 22:23:12'
-14.75,9.25,'07-09-2019 22:23:16'
-14.75,9.25,'07-09-2019 22:23:18'
-14.75,9.25,'07-09-2019 22:23:20'
-14.75,9.25,'07-09-2019 22:23:22'
-14.75,9.25,'07-09-2019 22:23:24'
-6,7.25,'07-09-2019 22:23:28'
-14.75,9.25,'07-09-2019 22:23:30'
-14.75,9.25,'07-09-2019 22:23:32'
-14.75,9.25,'07-09-2019 22:23:34'
-14.75,9.25,'07-09-2019 22:23:36'
-14.75,9.25,'07-09-2019 22:23:38'
-16.75,10,'07-09-2019 22:23:40'
-14.75,9.25,'07-09-2019 22:23:42'
-18.25,10.75,'07-09-2019 22:23:44'
-14.75,9.25,'07-09-2019 22:23:46'
-17.25,9.75,'07-09-2019 22:23:48'
-9.25,8,'07-09-2019 22:23:52'
-18.25,11,'07-09-2019 22:23:56'
-14.75,9.25,'07-09-2019 22:24:03'
-14.75,9.25,'07-09-2019 22:24:07'
-14.75,9.25,'07-09-2019 22:24:09'
-14.75,9.25,'07-09-2019 22:24:12'
-14.75,9.25,'07-09-2019 22:24:14'
-16.75,10.25,'07-09-2019 22:24:16'
-14.75,9.25,'07-09-2019 22:24:18'
-14.75,9.25,'07-09-2019 22:24:20'
-14.75,9.25,'07-09-2019 22:24:22'
-14.75,9.25,'07-09-2019 22:24:24'
-14.75,9.25,'07-09-2019 22:24:27'
-14.75,9.25,'07-09-2019 22:24:29'
-14.75,9.25,'07-09-2019 22:24:31'
-14.75,9.25,'07-09-2019 22:24:34'
-14.75,9.25,'07-09-2019 22:24:36'
