xx,yy,start_time
23.25,-4.25,'06-09-2019 21:18:38'
21.25,-3.25,'06-09-2019 21:18:40'
22.25,-3.75,'06-09-2019 21:18:42'
21.25,-3.25,'06-09-2019 21:18:44'
20,-2.25,'06-09-2019 21:18:46'
18.5,-2,'06-09-2019 21:18:49'
21,-2.75,'06-09-2019 21:18:51'
21,-3.25,'06-09-2019 21:18:53'
20.25,-2.5,'06-09-2019 21:18:56'
23,-4.25,'06-09-2019 21:19:00'
21.75,-4.75,'06-09-2019 21:19:02'
23,-4.25,'06-09-2019 21:19:06'
21,-3.25,'06-09-2019 21:19:08'
20.75,-2.75,'06-09-2019 21:19:09'
19.75,-2,'06-09-2019 21:19:11'
19.25,-1.75,'06-09-2019 21:19:13'
18.5,-3,'06-09-2019 21:19:16'
19,-3.5,'06-09-2019 21:19:18'
19,-4,'06-09-2019 21:19:20'
23,-4.25,'06-09-2019 21:19:23'
20,-3.25,'06-09-2019 21:19:25'
18.75,-2.25,'06-09-2019 21:19:27'
19.25,-2,'06-09-2019 21:19:29'
19.75,-2.25,'06-09-2019 21:19:31'
18.25,-1.75,'06-09-2019 21:19:33'
20,-2.25,'06-09-2019 21:19:35'
18.5,-2,'06-09-2019 21:19:37'
18.75,-2.25,'06-09-2019 21:19:39'
20.5,-3,'06-09-2019 21:19:41'
20.5,-2.5,'06-09-2019 21:19:43'
20.5,-2.25,'06-09-2019 21:19:44'
19.5,-2,'06-09-2019 21:19:46'
20.25,-2,'06-09-2019 21:19:49'
20,-1.75,'06-09-2019 21:19:50'
18.5,-2,'06-09-2019 21:19:53'
20.5,-2.25,'06-09-2019 21:19:55'
18.5,-1.75,'06-09-2019 21:19:57'
19.5,-1.75,'06-09-2019 21:19:59'
18,-1.5,'06-09-2019 21:20:03'
20.5,-2.25,'06-09-2019 21:20:05'
20.75,-2.5,'06-09-2019 21:20:07'
20.75,-2.25,'06-09-2019 21:20:09'
20,-1.75,'06-09-2019 21:20:11'
20.25,-2,'06-09-2019 21:20:13'
20,-3.75,'06-09-2019 21:20:18'
19.5,-3.5,'06-09-2019 21:20:20'
18.5,-2.25,'06-09-2019 21:20:24'
17.75,-2.25,'06-09-2019 21:20:26'
19,-3.5,'06-09-2019 21:20:28'
19,-3.5,'06-09-2019 21:20:35'
17.75,-4.25,'06-09-2019 21:20:38'
17.5,-5,'06-09-2019 21:20:40'
19,-5.75,'06-09-2019 21:20:41'
17.25,-5.5,'06-09-2019 21:20:43'
15.75,-5,'06-09-2019 21:20:46'
15.25,-5,'06-09-2019 21:20:48'
14.25,-5.25,'06-09-2019 21:20:50'
13.5,-5.25,'06-09-2019 21:20:52'
9,-7,'06-09-2019 21:20:55'
11.75,-5.25,'06-09-2019 21:20:57'
5,-5.25,'06-09-2019 21:21:00'
8.25,-6,'06-09-2019 21:21:01'
9,-5.25,'06-09-2019 21:21:04'
9.75,-6.25,'06-09-2019 21:21:05'
10.25,-7.75,'06-09-2019 21:21:08'
11.25,-13,'06-09-2019 21:21:13'
7.25,-2.75,'06-09-2019 21:21:16'
9.25,-3.5,'06-09-2019 21:21:20'
9,-3.5,'06-09-2019 21:21:23'
11,-9.25,'06-09-2019 21:21:25'
11,-9,'06-09-2019 21:21:27'
11,-9,'06-09-2019 21:21:29'
11,-9,'06-09-2019 21:21:31'
9.25,-3,'06-09-2019 21:21:33'
1.5,-4.5,'06-09-2019 21:21:37'
-1,-1.75,'06-09-2019 21:21:40'
1,-3.5,'06-09-2019 21:21:42'
-0.75,-1.75,'06-09-2019 21:21:47'
-0.75,-1.75,'06-09-2019 21:21:49'
8.25,-1.25,'06-09-2019 21:21:51'
5.25,-4.25,'06-09-2019 21:21:53'
5,-4,'06-09-2019 21:21:56'
4.75,-3.75,'06-09-2019 21:21:58'
5,-3.75,'06-09-2019 21:22:00'
4.75,-3.5,'06-09-2019 21:22:01'
5,-3.75,'06-09-2019 21:22:04'
5,-3.75,'06-09-2019 21:22:05'
5.5,-3.5,'06-09-2019 21:22:08'
5.5,-3.5,'06-09-2019 21:22:10'
-0.5,-1.75,'06-09-2019 21:22:13'
1.75,0.25,'06-09-2019 21:22:15'
6,4.25,'06-09-2019 21:22:17'
8.5,6,'06-09-2019 21:22:24'
10.75,7.75,'06-09-2019 21:22:27'
9.25,7.25,'06-09-2019 21:22:31'
5.5,7,'06-09-2019 21:22:34'
6,6.75,'06-09-2019 21:22:37'
5.75,7,'06-09-2019 21:22:39'
9.5,5.75,'06-09-2019 21:22:42'
8.75,6.5,'06-09-2019 21:22:44'
8.5,6.25,'06-09-2019 21:22:46'
8.75,7.25,'06-09-2019 21:22:48'
8.25,6.25,'06-09-2019 21:22:50'
5,5.5,'06-09-2019 21:22:52'
8.75,8,'06-09-2019 21:22:54'
5.5,7.25,'06-09-2019 21:22:58'
9.5,8.25,'06-09-2019 21:23:00'
6.25,7,'06-09-2019 21:23:02'
7.5,7.5,'06-09-2019 21:23:04'
5.5,6.75,'06-09-2019 21:23:06'
5.25,6.75,'06-09-2019 21:23:08'
6,7,'06-09-2019 21:23:13'
5.5,6.25,'06-09-2019 21:23:15'
1,2.5,'06-09-2019 21:23:17'
4,5.5,'06-09-2019 21:23:19'
5,7.25,'06-09-2019 21:23:21'
5.5,6.75,'06-09-2019 21:23:23'
6.25,6.25,'06-09-2019 21:23:25'
4,7,'06-09-2019 21:23:29'
2,6.5,'06-09-2019 21:23:31'
1.25,6.25,'06-09-2019 21:23:33'
1.25,6.75,'06-09-2019 21:23:35'
0.75,10.25,'06-09-2019 21:23:37'
1,9.75,'06-09-2019 21:23:39'
0.5,6.25,'06-09-2019 21:23:42'
-2.25,8.25,'06-09-2019 21:23:45'
-1.75,8.5,'06-09-2019 21:23:49'
-1.5,8.25,'06-09-2019 21:23:51'
-2.25,8,'06-09-2019 21:23:54'
-2,4.5,'06-09-2019 21:23:55'
-2.25,8.25,'06-09-2019 21:23:57'
2.5,4.25,'06-09-2019 21:24:00'
-2.25,9.5,'06-09-2019 21:24:02'
-2.75,12,'06-09-2019 21:24:04'
-1.75,12,'06-09-2019 21:24:06'
-3.75,15.75,'06-09-2019 21:24:08'
-4.75,12,'06-09-2019 21:24:10'
-4.75,12,'06-09-2019 21:24:12'
-2.5,12.25,'06-09-2019 21:24:14'
3.75,7,'06-09-2019 21:24:20'
-1.5,12.25,'06-09-2019 21:24:22'
0.5,10.5,'06-09-2019 21:24:25'
-2.5,9.25,'06-09-2019 21:24:26'
0.75,10.5,'06-09-2019 21:24:29'
0.75,10.5,'06-09-2019 21:24:31'
-2.25,9.5,'06-09-2019 21:24:33'
2.5,5,'06-09-2019 21:24:35'
-1.75,12,'06-09-2019 21:24:36'
-1.25,12.25,'06-09-2019 21:24:38'
5.75,10.5,'06-09-2019 21:24:40'
-4.25,10.5,'06-09-2019 21:24:42'
1.25,5.25,'06-09-2019 21:24:44'
2.75,4.75,'06-09-2019 21:24:47'
-1.75,12,'06-09-2019 21:24:49'
-1.25,9,'06-09-2019 21:24:51'
-4.5,11.75,'06-09-2019 21:24:55'
-2.5,12.25,'06-09-2019 21:24:57'
-2.25,12.25,'06-09-2019 21:24:59'
3,6.5,'06-09-2019 21:25:02'
3.5,7,'06-09-2019 21:25:04'
-1.75,12,'06-09-2019 21:25:06'
3.5,7,'06-09-2019 21:25:08'
10,6,'06-09-2019 21:25:10'
-3.75,16,'06-09-2019 21:25:12'
-4.25,11,'06-09-2019 21:25:15'
-4.25,10.75,'06-09-2019 21:25:19'
-4,10.75,'06-09-2019 21:25:24'
-1.5,12.25,'06-09-2019 21:25:26'
-7,8.5,'06-09-2019 21:25:28'
-6,7.25,'06-09-2019 21:25:30'
3.5,6.5,'06-09-2019 21:25:32'
3.75,7,'06-09-2019 21:25:34'
3.75,7.25,'06-09-2019 21:25:37'
3,7,'06-09-2019 21:25:38'
2.75,5.75,'06-09-2019 21:25:40'
3.5,7,'06-09-2019 21:25:43'
-3.75,15.75,'06-09-2019 21:25:45'
-3.75,15.75,'06-09-2019 21:25:47'
4,7.25,'06-09-2019 21:25:49'
3.5,7.75,'06-09-2019 21:25:53'
3,8,'06-09-2019 21:25:55'
3.25,6.75,'06-09-2019 21:25:57'
2.75,8.25,'06-09-2019 21:26:00'
0.25,12.5,'06-09-2019 21:26:02'
-1,7.75,'06-09-2019 21:26:04'
-0.25,11.25,'06-09-2019 21:26:06'
-1,11.5,'06-09-2019 21:26:09'
-0.25,12,'06-09-2019 21:26:11'
0,12.25,'06-09-2019 21:26:15'
2,9,'06-09-2019 21:26:17'
-0.5,12.75,'06-09-2019 21:26:19'
-0.75,11.5,'06-09-2019 21:26:21'
-0.25,9.75,'06-09-2019 21:26:23'
-0.75,12.75,'06-09-2019 21:26:27'
-1.25,12.25,'06-09-2019 21:26:32'
-1.25,11.25,'06-09-2019 21:26:36'
-4.75,11,'06-09-2019 21:26:38'
-1.25,11.5,'06-09-2019 21:26:40'
-1,11.75,'06-09-2019 21:26:42'
-1,11.75,'06-09-2019 21:26:44'
-0.5,12,'06-09-2019 21:26:46'
-1,12,'06-09-2019 21:26:55'
-0.5,12.25,'06-09-2019 21:26:58'
-0.75,12,'06-09-2019 21:27:00'
-0.5,12,'06-09-2019 21:27:02'
-1,11.75,'06-09-2019 21:27:04'
1.75,9,'06-09-2019 21:27:12'
0.25,12.25,'06-09-2019 21:27:14'
-0.75,19.75,'06-09-2019 21:27:22'
3.5,12.75,'06-09-2019 21:27:26'
4,12.25,'06-09-2019 21:27:29'
4,12.25,'06-09-2019 21:27:30'
4,12.25,'06-09-2019 21:27:33'
3.75,12.5,'06-09-2019 21:27:35'
0.25,12.75,'06-09-2019 21:27:37'
0,13,'06-09-2019 21:27:40'
-1,12.5,'06-09-2019 21:27:42'
4.75,11.5,'06-09-2019 21:27:54'
2.5,9,'06-09-2019 21:27:56'
-1.75,12.75,'06-09-2019 21:28:03'
-1.5,12.5,'06-09-2019 21:28:08'
-0.75,18.25,'06-09-2019 21:28:10'
-0.5,21.75,'06-09-2019 21:28:13'
-1.75,21.5,'06-09-2019 21:28:15'
-1.75,21.75,'06-09-2019 21:28:17'
1.25,18,'06-09-2019 21:28:19'
4.5,11,'06-09-2019 21:28:23'
4.75,10.75,'06-09-2019 21:28:25'
4.25,11.5,'06-09-2019 21:28:27'
3.75,12.25,'06-09-2019 21:28:31'
3,12,'06-09-2019 21:28:36'
2.75,12.75,'06-09-2019 21:28:38'
2.25,12.5,'06-09-2019 21:28:44'
2,12.75,'06-09-2019 21:28:46'
3.5,11.5,'06-09-2019 21:28:48'
2.5,12.5,'06-09-2019 21:28:50'
4,11.25,'06-09-2019 21:28:52'
2.25,12.5,'06-09-2019 21:28:54'
-1.25,22.5,'06-09-2019 21:28:56'
3.5,27,'06-09-2019 21:28:58'
4,26.5,'06-09-2019 21:29:05'
4.25,27.25,'06-09-2019 21:29:07'
4.25,27.75,'06-09-2019 21:29:09'
4.75,27.75,'06-09-2019 21:29:12'
5.75,27.25,'06-09-2019 21:29:15'
0.25,20.25,'06-09-2019 21:29:21'
8.75,28.5,'06-09-2019 21:29:23'
9.25,30.25,'06-09-2019 21:29:26'
0.5,19.75,'06-09-2019 21:29:33'
0,21,'06-09-2019 21:29:35'
0.5,19.75,'06-09-2019 21:29:37'
-0.5,21.75,'06-09-2019 21:29:45'
-1,22.25,'06-09-2019 21:29:52'
0,21,'06-09-2019 21:29:56'
0,21,'06-09-2019 21:29:58'
-0.5,21.75,'06-09-2019 21:30:01'
-1,22.25,'06-09-2019 21:30:03'
-1.25,22.5,'06-09-2019 21:30:06'
-1.25,22.5,'06-09-2019 21:30:08'
-0.5,21.75,'06-09-2019 21:30:10'
0,21,'06-09-2019 21:30:12'
5.75,31.5,'06-09-2019 21:30:20'
9,10.5,'06-09-2019 21:30:22'
-1.25,22.5,'06-09-2019 21:30:24'
-0.5,21.75,'06-09-2019 21:30:28'
8.25,31.25,'06-09-2019 21:30:32'
-1,22.25,'06-09-2019 21:30:35'
22.25,60,'06-09-2019 21:30:37'
11.25,35,'06-09-2019 21:30:39'
7.25,30.5,'06-09-2019 21:30:41'
19,60,'06-09-2019 21:30:45'
-1.25,22.5,'06-09-2019 21:30:50'
0,21,'06-09-2019 21:30:53'
-0.5,21.75,'06-09-2019 21:30:55'
-1.25,22.5,'06-09-2019 21:30:57'
-0.5,21.75,'06-09-2019 21:30:59'
-1,22.25,'06-09-2019 21:31:01'
-0.5,21.75,'06-09-2019 21:31:03'
-0.5,21.75,'06-09-2019 21:31:05'
-1.5,22.75,'06-09-2019 21:31:08'
-1.5,22.75,'06-09-2019 21:31:11'
-1.5,22.75,'06-09-2019 21:31:13'
-1.5,22.75,'06-09-2019 21:31:16'
-1.25,22.5,'06-09-2019 21:31:20'
-1,22.25,'06-09-2019 21:31:23'
15.5,60,'06-09-2019 21:31:29'
0.75,13.25,'06-09-2019 21:31:31'
-1.5,22.75,'06-09-2019 21:31:34'
-1.5,22.75,'06-09-2019 21:31:36'
-0.5,21.75,'06-09-2019 21:31:42'
0,21,'06-09-2019 21:31:44'
-1.25,22.5,'06-09-2019 21:31:47'
-1.25,22.5,'06-09-2019 21:31:49'
-0.75,22,'06-09-2019 21:31:55'
-1.5,22.75,'06-09-2019 21:31:59'
-1.5,22.75,'06-09-2019 21:32:02'
-1,22.25,'06-09-2019 21:32:04'
-1.25,22.5,'06-09-2019 21:32:07'
14.25,60,'06-09-2019 21:32:12'
-1.5,22.75,'06-09-2019 21:32:18'
-4.75,25,'06-09-2019 21:32:21'
-1.5,22.75,'06-09-2019 21:32:23'
4.75,15,'06-09-2019 21:32:24'
-16.75,10.25,'06-09-2019 21:32:26'
-2,23,'06-09-2019 21:32:28'
4.25,15.5,'06-09-2019 21:32:30'
-7.5,26.5,'06-09-2019 21:32:32'
-7.5,26.5,'06-09-2019 21:32:35'
-1.5,22.75,'06-09-2019 21:32:37'
-2,23,'06-09-2019 21:32:39'
-1.5,22.75,'06-09-2019 21:32:41'
-1.5,22.75,'06-09-2019 21:32:43'
-1.25,22.5,'06-09-2019 21:32:45'
-1.5,22.75,'06-09-2019 21:32:49'
-2.25,23.25,'06-09-2019 21:32:51'
-1.25,22.5,'06-09-2019 21:32:54'
-1.5,22.75,'06-09-2019 21:33:04'
-1.25,22.5,'06-09-2019 21:33:06'
