xx,yy,start_time
18.25,-6,'06-09-2019 21:18:38'
17.25,-5.25,'06-09-2019 21:18:40'
18,-5.5,'06-09-2019 21:18:42'
17.25,-5.25,'06-09-2019 21:18:44'
16.75,-4.25,'06-09-2019 21:18:46'
17,-4.25,'06-09-2019 21:18:49'
17.75,-4.75,'06-09-2019 21:18:51'
18.25,-5.25,'06-09-2019 21:18:53'
18.25,-4.5,'06-09-2019 21:18:56'
19.75,-5.5,'06-09-2019 21:19:00'
18,-6.5,'06-09-2019 21:19:02'
18.5,-5.75,'06-09-2019 21:19:06'
19.25,-5,'06-09-2019 21:19:08'
19,-4.5,'06-09-2019 21:19:09'
17.5,-4,'06-09-2019 21:19:11'
17.5,-3.75,'06-09-2019 21:19:13'
15,-5.25,'06-09-2019 21:19:16'
15,-5.75,'06-09-2019 21:19:18'
15,-6,'06-09-2019 21:19:20'
17,-6,'06-09-2019 21:19:23'
16.75,-5.25,'06-09-2019 21:19:25'
17.5,-4.5,'06-09-2019 21:19:27'
17.25,-4.25,'06-09-2019 21:19:29'
17.25,-4.5,'06-09-2019 21:19:31'
16.75,-4,'06-09-2019 21:19:33'
17.5,-4.25,'06-09-2019 21:19:35'
17,-4.25,'06-09-2019 21:19:37'
17.25,-4.5,'06-09-2019 21:19:39'
18.25,-4.75,'06-09-2019 21:19:41'
18.5,-4.5,'06-09-2019 21:19:43'
17.75,-4.25,'06-09-2019 21:19:44'
16,-4.25,'06-09-2019 21:19:46'
16.5,-4,'06-09-2019 21:19:49'
16.25,-3.75,'06-09-2019 21:19:50'
16,-4.25,'06-09-2019 21:19:53'
17,-4.25,'06-09-2019 21:19:55'
17.5,-3.75,'06-09-2019 21:19:57'
18.25,-3.5,'06-09-2019 21:19:59'
18.25,-3.5,'06-09-2019 21:20:03'
16.75,-3.5,'06-09-2019 21:20:05'
16.25,-4.25,'06-09-2019 21:20:07'
16.5,-4.5,'06-09-2019 21:20:09'
16.75,-4.25,'06-09-2019 21:20:11'
17.25,-3.75,'06-09-2019 21:20:13'
16.5,-4,'06-09-2019 21:20:18'
17,-5.75,'06-09-2019 21:20:20'
16.25,-5.5,'06-09-2019 21:20:24'
15,-4.5,'06-09-2019 21:20:26'
14,-4.5,'06-09-2019 21:20:28'
14,-5.75,'06-09-2019 21:20:35'
15.25,-5.5,'06-09-2019 21:20:38'
13.5,-6.25,'06-09-2019 21:20:40'
13.25,-7,'06-09-2019 21:20:41'
12.5,-7.75,'06-09-2019 21:20:43'
12,-7.5,'06-09-2019 21:20:46'
10.75,-7,'06-09-2019 21:20:48'
10.5,-7,'06-09-2019 21:20:50'
9.5,-7.25,'06-09-2019 21:20:52'
9,-7.25,'06-09-2019 21:20:55'
7.25,-7.75,'06-09-2019 21:20:57'
7.25,-7,'06-09-2019 21:21:00'
4.5,-5.5,'06-09-2019 21:21:01'
4,-7.75,'06-09-2019 21:21:04'
6.5,-5.5,'06-09-2019 21:21:05'
4,-6.25,'06-09-2019 21:21:08'
4,-6.75,'06-09-2019 21:21:13'
3.5,-7,'06-09-2019 21:21:16'
3.5,-4.5,'06-09-2019 21:21:20'
2,-3.75,'06-09-2019 21:21:23'
2.75,-3.75,'06-09-2019 21:21:25'
4.25,-5,'06-09-2019 21:21:27'
4.25,-4,'06-09-2019 21:21:29'
2.75,-4.5,'06-09-2019 21:21:31'
1.75,-4,'06-09-2019 21:21:33'
0.25,-3.25,'06-09-2019 21:21:37'
-0.5,-2.75,'06-09-2019 21:21:40'
-1.75,-2.25,'06-09-2019 21:21:42'
0.25,-1,'06-09-2019 21:21:47'
-0.5,-1,'06-09-2019 21:21:49'
0.75,-0.75,'06-09-2019 21:21:51'
2.5,-1.25,'06-09-2019 21:21:53'
2.25,-1.5,'06-09-2019 21:21:56'
2.25,-1.25,'06-09-2019 21:21:58'
2.75,-0.75,'06-09-2019 21:22:00'
3,-0.25,'06-09-2019 21:22:01'
2.25,0,'06-09-2019 21:22:04'
0.5,-0.75,'06-09-2019 21:22:05'
0.75,0,'06-09-2019 21:22:08'
3,1.25,'06-09-2019 21:22:10'
3.25,1.75,'06-09-2019 21:22:13'
0,2.25,'06-09-2019 21:22:15'
2,4.25,'06-09-2019 21:22:17'
2,4.75,'06-09-2019 21:22:24'
1.5,4.25,'06-09-2019 21:22:27'
4.25,5.5,'06-09-2019 21:22:31'
0.25,4.25,'06-09-2019 21:22:34'
3.75,8,'06-09-2019 21:22:37'
4.5,7.75,'06-09-2019 21:22:39'
4.5,8.25,'06-09-2019 21:22:42'
4.75,5.5,'06-09-2019 21:22:44'
5,5.25,'06-09-2019 21:22:46'
3.75,5,'06-09-2019 21:22:48'
